label,precision,recall,f1_score,support,average_precision
.asm,0.872093023255814,0.881982360352793,0.8770098141574442,2381.0,0.771609094865665
.bat,0.7146454049517414,0.855349070818684,0.7786922725194328,1991.0,0.6137704587094676
.c,0.7186770428015564,0.831981981981982,0.7711899791231733,2220.0,0.6011631300095172
.cbl,0.5043478260869565,0.5155555555555555,0.5098901098901099,225.0,0.26096519222180214
.clj,0.9671272034302049,0.9892787524366472,0.9780775716694772,2052.0,0.9569493025056619
.cmake,0.9190110826939472,0.9481090589270009,0.9333333333333333,2274.0,0.8723467005448455
.coffee,0.9003724394785847,0.9289145052833814,0.9144208037825058,2082.0,0.8376533177711056
.cpp,0.8119402985074626,0.6780224345658497,0.7389630971247454,2407.0,0.5572389500857494
.cs,0.9814722083124687,0.9617271835132483,0.9714993804213135,2038.0,0.9445853626603994
.css,0.979757085020243,0.9569945625308948,0.9682420605151288,2023.0,0.9383771622671113
.csv,0.8963983992885727,0.9495996231747527,0.9222323879231473,2123.0,0.8521480953429406
.dart,0.9720342805593144,0.9373640713353631,0.954384410983171,2299.0,0.9123995985121963
.dm,0.9853385079775765,0.9840654608096469,0.984701572936867,2322.0,0.9699586675519599
.dockerfile,0.9522706209453198,0.8907672301690507,0.9204927211646137,2307.0,0.8504382420575837
.erl,0.9598413485374319,0.9817444219066938,0.9706693406868889,1972.0,0.9426312867944165
.ex,0.9715536105032823,0.9766827980642323,0.9741114523913997,2273.0,0.9493596165112222
.f90,0.8714539007092199,0.8031045751633987,0.8358843537414967,2448.0,0.7040512627883979
.go,0.9847294938917975,0.9817311874728143,0.9832280548900022,2299.0,0.9671041184890244
.groovy,0.943980343980344,0.9271235521235521,0.9354760165570977,2072.0,0.8764967413073003
.hs,0.9536299765807963,0.9640151515151515,0.9587944431363316,2112.0,0.9199732510402033
.html,0.8582289803220036,0.8992502343017807,0.8782608695652174,2134.0,0.773628315660383
.ini,0.6489493201483313,0.8143743536711479,0.7223113964686999,1934.0,0.5316029749919479
.java,0.9752770673486786,0.9732028923862186,0.9742388758782201,2351.0,0.9496891574883727
.jl,0.9287194363862412,0.9356993736951983,0.9321963394342762,2395.0,0.8703385597059607
.js,0.8796203796203796,0.824438202247191,0.8511358144030933,2136.0,0.7284467793549901
.json,0.9629219701162147,0.9869540555870675,0.9747899159663865,1763.0,0.9505593305618946
.kt,0.9738195418419823,0.9625693160813309,0.9681617476179409,2164.0,0.9380717035203587
.lisp,0.9755449229133439,0.9552316501821968,0.9652814308258811,1921.0,0.9326176681498747
.lua,0.9709800190294957,0.9079181494661922,0.9383908045977012,2248.0,0.8833666645221744
.makefile,0.9042958129418162,0.860320744956027,0.8817603393425238,1933.0,0.7803274245936755
.matlab,0.9352331606217616,0.9205269868253294,0.9278218033840223,2353.0,0.8625300919401049
.md,0.6705528394133132,0.8042399639152007,0.7313371616078753,2217.0,0.5430515101879726
.ml,0.9485018726591761,0.9583727530747398,0.9534117647058823,2114.0,0.9097819879916622
.mm,0.9683168316831683,0.9106145251396648,0.9385796545105565,2148.0,0.8834294889473486
.pas,0.8780380026513478,0.9566682715454983,0.915668202764977,2077.0,0.840772090728712
.php,0.9684256055363322,0.9240610813041684,0.9457233368532207,2423.0,0.8964811077490062
.pm,0.9576593720266413,0.9495283018867925,0.9535765040265276,2120.0,0.9102531904704892
.prolog,0.9429305912596401,0.8868471953578336,0.9140294044355843,2068.0,0.8382659304662777
.ps1,0.9083629893238434,0.8956140350877193,0.9019434628975265,2280.0,0.8156079331557207
.py,0.9454117647058824,0.9098731884057971,0.9273021001615509,2208.0,0.8619316776405825
.r,0.942643391521197,0.9585798816568047,0.950544844928751,2366.0,0.9044494046149201
.rb,0.9675675675675676,0.9552545155993432,0.9613716174344145,2436.0,0.9252191566166961
.rs,0.977747502270663,0.9518125552608311,0.9646057347670249,2262.0,0.9315782170864395
.scala,0.9585211902614968,0.9668030923146885,0.9626443287299071,2199.0,0.9273347223918814
.sh,0.8631578947368421,0.8522367826479892,0.8576625738972261,2213.0,0.7384525127786518
.sql,0.854878652798415,0.8473244968090329,0.8510848126232742,2037.0,0.7270583868761618
.swift,0.974214721050164,0.9829706717123936,0.9785731104308925,2114.0,0.957936895695176
.tex,0.9534883720930233,0.9006490264603095,0.9263157894736843,2003.0,0.8604852349980968
.toml,0.8839811542991755,0.9452141057934509,0.9135727328058428,1588.0,0.8363064156007769
.ts,0.8782083543029693,0.913134484563056,0.8953309389430477,1911.0,0.8033628300036735
.v,0.9651531151003168,0.817531305903399,0.8852300242130751,2236.0,0.7925833853784962
.vba,0.8779264214046822,0.8540056933712892,0.8658008658008658,2459.0,0.7528694540715
.xml,0.9799176107106076,0.8595302619692864,0.9157844080846967,2214.0,0.8449676032033665
.yaml,0.8858088539511791,0.9337112952464021,0.9091295116772824,2293.0,0.8284087417180397
macro_average,0.9078829514838986,0.9059106848541866,0.905830840744543,,
