label,precision,recall,f1_score,support,average_precision
.asm,0.8425480769230769,0.883242335153297,0.8624154193151528,2381.0,0.7465865296283909
.bat,0.7867881548974943,0.8674033149171271,0.8251313903487817,1991.0,0.6847535646798406
.c,0.7470542026708562,0.8567567567567568,0.7981535879143936,2220.0,0.6428032422146028
.cbl,0.7272727272727273,0.35555555555555557,0.4776119402985074,225.0,0.25984412408855734
.clj,0.9825581395348837,0.9883040935672515,0.9854227405247813,2052.0,0.9712744961050777
.cmake,0.9555056179775281,0.9349164467897977,0.945098910869082,2274.0,0.8946022158293053
.coffee,0.9499256321269212,0.920268972142171,0.9348621615028054,2082.0,0.8756275821472057
.cpp,0.8330907326540514,0.7133361030328209,0.7685765443151298,2407.0,0.6002613049584204
.cs,0.98388671875,0.9887144259077527,0.9862946647087616,2038.0,0.9729825792289762
.css,0.9705441837244134,0.9609490855165596,0.9657228017883756,2023.0,0.9333290835600336
.csv,0.9093806921675774,0.940650023551578,0.9247510997916185,2123.0,0.8565023588381617
.dart,0.9705751226036559,0.9469334493257938,0.9586085424922942,2299.0,0.9201287272377765
.dm,0.9873913043478261,0.9780361757105943,0.9826914755517092,2322.0,0.9661469775834685
.dockerfile,0.955011135857461,0.929345470307759,0.9420035149384886,2307.0,0.8889497371814952
.erl,0.9563708477937531,0.9781947261663286,0.9671596891451492,1972.0,0.9358900603753184
.ex,0.9878978036754819,0.9696436427628684,0.9786856127886323,2273.0,0.9585075858587534
.f90,0.8683425649765658,0.8325163398692811,0.8500521376433785,2448.0,0.7264672281270387
.go,0.9916410030796304,0.980426272292301,0.9860017497812773,2299.0,0.9726213882920529
.groovy,0.956935403104657,0.9222972972972973,0.939297124600639,2072.0,0.8839760445641766
.hs,0.9874517374517374,0.96875,0.9780114722753345,2112.0,0.9571665984024266
.html,0.900497512437811,0.9329896907216495,0.9164556962025316,2134.0,0.8413958057414226
.ini,0.5835148874364561,0.8309203722854188,0.6855802047781571,1934.0,0.48769201315369815
.java,0.9783531409168081,0.9804338579327946,0.9793923943063522,2351.0,0.959609718253348
.jl,0.9429051217464316,0.9377870563674322,0.940339124973833,2395.0,0.8855371948315484
.js,0.8691631992602866,0.8801498127340824,0.8746220051174693,2136.0,0.7672153165035448
.json,0.9397849462365592,0.9914917753828701,0.9649461772012145,1763.0,0.931919210219012
.kt,0.9686915887850467,0.9579482439926063,0.9632899628252789,2164.0,0.9287460765211508
.lisp,0.9752953813104189,0.9453409682457053,0.9600845889505683,1921.0,0.9228978378713721
.lua,0.9783341357727492,0.9039145907473309,0.9396531791907514,2248.0,0.8862048816655334
.makefile,0.9121844127332601,0.85980341438179,0.885219707057257,1933.0,0.7866509274499833
.matlab,0.9590340664079344,0.9451763705907352,0.9520547945205479,2353.0,0.9075757605730713
.md,0.6505320974939924,0.8547586829048264,0.7387914230019493,2217.0,0.5588421760265826
.ml,0.9788461538461538,0.9631031220435194,0.9709108249880782,2114.0,0.9434066468330427
.mm,0.9825242718446602,0.9422718808193669,0.9619771863117871,2148.0,0.9268810275288824
.pas,0.9753768844221106,0.934520943668753,0.9545119252520285,2077.0,0.9126902927274393
.php,0.991304347826087,0.94098225340487,0.9654880372644505,2423.0,0.934040709143891
.pm,0.9697696737044146,0.9533018867924529,0.9614652711703141,2120.0,0.9253423513156037
.prolog,0.9580901856763926,0.8733075435203095,0.9137364027321022,2068.0,0.8389809421219474
.ps1,0.9276345545002261,0.8995614035087719,0.9133823201959475,2280.0,0.8364514335144096
.py,0.9573958831977023,0.9057971014492754,0.9308820107051431,2208.0,0.8690113761093363
.r,0.9711206896551724,0.952240067624683,0.9615877080665813,2366.0,0.925720610511763
.rb,0.9759236197592362,0.9651067323481116,0.970485036119711,2436.0,0.9426080596025526
.rs,0.9878158844765343,0.9677276746242264,0.9776686020544886,2262.0,0.9565702404392604
.scala,0.9623923878568192,0.965893587994543,0.9641398093508852,2199.0,0.9302194635498134
.sh,0.93017578125,0.8608224130140081,0.8941563013377142,2213.0,0.8033888900244097
.sql,0.8470588235294118,0.8483063328424153,0.847682119205298,2037.0,0.7212467714647626
.swift,0.9942446043165467,0.9806054872280038,0.987377947130269,2114.0,0.9753175000576456
.tex,0.9486125385405961,0.9216175736395407,0.9349202329703722,2003.0,0.8756203839139929
.toml,0.8722891566265061,0.9118387909319899,0.8916256157635469,1588.0,0.796601966958487
.ts,0.9198751300728408,0.9251700680272109,0.9225150013044613,1911.0,0.8522818467824843
.v,0.9391955098222639,0.8980322003577818,0.9181527206218565,2236.0,0.845406324283666
.vba,0.8764973151590252,0.8629524196827979,0.869672131147541,2459.0,0.759299861544091
.xml,0.976,0.9367660343270099,0.9559806407006223,2214.0,0.9154985265402501
.yaml,0.8701668701668702,0.9324029655473179,0.9002105263157895,2293.0,0.8126912126985372
macro_average,0.9226068992292151,0.9125793297464277,0.9152872261005405,,
