label,precision,recall,f1_score,support,average_precision
.asm,0.8863733447244767,0.871482570348593,0.878864887759424,2381.0,0.7751142948443169
.bat,0.7831207065750736,0.801607232546459,0.7922561429635147,1991.0,0.6311829111306863
.c,0.7754849360297152,0.8463963963963964,0.809390480292914,2220.0,0.6593267486698636
.cbl,0.6964285714285714,0.3466666666666667,0.46290801186943625,225.0,0.24270419231751433
.clj,0.9768700787401575,0.9673489278752436,0.9720861900097943,2052.0,0.9455556287818743
.cmake,0.9528049866429208,0.9410729991204925,0.9469026548672566,2274.0,0.8978218572353703
.coffee,0.8918525703200776,0.8832853025936599,0.8875482625482626,2082.0,0.7898689468727638
.cpp,0.8799812470698547,0.7798088907353552,0.8268722466960352,2407.0,0.69081637750015
.cs,0.9745472344591287,0.9769381746810598,0.9757412398921832,2038.0,0.9524802479497129
.css,0.9879518072289156,0.9728126544735541,0.9803237858032379,2023.0,0.9615692932040197
.csv,0.7539267015706806,0.9495996231747527,0.8405253283302063,2123.0,0.716857024876963
.dart,0.9596231493943472,0.9304045237059592,0.9447879858657243,2299.0,0.8942261501489898
.dm,0.99128160418483,0.979328165374677,0.9852686308492201,2322.0,0.9712065240658553
.dockerfile,0.9046793760831889,0.9050715214564369,0.904875406283857,2307.0,0.8206999541356031
.erl,0.9756962025316456,0.9771805273833671,0.9764378008614137,1972.0,0.9538218259463147
.ex,0.9737556561085973,0.9467663880334359,0.9600713807718046,2273.0,0.9229691262288345
.f90,0.9267015706806283,0.8676470588235294,0.8962025316455696,2448.0,0.8068614647797399
.go,0.9876106194690265,0.9708568943018704,0.9791620969510857,2299.0,0.9594099842364234
.groovy,0.9274770173646578,0.8764478764478765,0.9012406947890819,2072.0,0.8151067517627121
.hs,0.9630518234165067,0.9502840909090909,0.9566253574833175,2112.0,0.9160839842915138
.html,0.8689320388349514,0.8388003748828491,0.8536003814973772,2134.0,0.7318456463564643
.ini,0.47055524397083565,0.8676318510858325,0.6101818181818182,1934.0,0.41049020680380915
.java,0.9809079338141705,0.9834113143343258,0.9821580288870009,2351.0,0.9649743904649217
.jl,0.9384811200678829,0.9235908141962421,0.9309764309764309,2395.0,0.8683605596326343
.js,0.8619186046511628,0.8328651685393258,0.8471428571428571,2136.0,0.7209599203745468
.json,0.9129738387613454,0.9699376063528077,0.9405940594059405,1763.0,0.8859875775663827
.kt,0.9692164179104478,0.9602587800369686,0.9647168059424327,2164.0,0.9314448566629845
.lisp,0.9621333333333333,0.9390942217595003,0.9504741833508957,1921.0,0.9045491439908216
.lua,0.9682614874467077,0.9092526690391459,0.9378297774718971,2248.0,0.8821645911856327
.makefile,0.840793489318413,0.8551474392136575,0.8479097204411389,1933.0,0.7214321533723336
.matlab,0.9587948604342047,0.9196770080747981,0.9388286334056399,2353.0,0.8834216726016925
.md,0.6611033843300881,0.6432115471357691,0.6520347508001829,2217.0,0.4320933859111987
.ml,0.9620192307692308,0.9465468306527909,0.9542203147353362,2114.0,0.911576833234444
.mm,0.9744578313253012,0.9413407821229051,0.957613071276344,2148.0,0.9183902864189286
.pas,0.9536260483473114,0.9306692344727973,0.9420077972709552,2077.0,0.8887600121982877
.php,0.9408579758433986,0.9323153115971936,0.9365671641791046,2423.0,0.878599438589161
.pm,0.9687950072011522,0.9518867924528301,0.9602664763264335,2120.0,0.9230682966474714
.prolog,0.9436170212765957,0.8578336557059961,0.8986828774062817,2068.0,0.8120176807259907
.ps1,0.9256756756756757,0.8412280701754385,0.8814338235294117,2280.0,0.7818456871671797
.py,0.9553444180522566,0.9107789855072463,0.9325295617899374,2208.0,0.8718171254286907
.r,0.9608770421324162,0.944632290786137,0.9526854219948849,2366.0,0.9088122592723417
.rb,0.9285999202233746,0.9556650246305419,0.9419380942747321,2436.0,0.8883676564893731
.rs,0.9665903890160183,0.9336870026525199,0.9498538340454239,2262.0,0.9037945370814084
.scala,0.951276102088167,0.9322419281491587,0.9416628387689481,2199.0,0.8881124438880758
.sh,0.9183983781044095,0.8187980117487573,0.8657429526994744,2213.0,0.7554625209271202
.sql,0.6675759937646142,0.8409425625920471,0.7442971974799045,2037.0,0.5642046394928948
.swift,0.9847328244274809,0.9763481551561022,0.9805225653206651,2114.0,0.9618759611075319
.tex,0.9610666666666666,0.8996505242136795,0.9293450232078391,2003.0,0.8663683467884944
.toml,0.8913612565445026,0.8576826196473551,0.8741976893453146,1588.0,0.7664662162108329
.ts,0.9032932566649242,0.9042386185243328,0.9037656903765691,1911.0,0.8183806643703738
.v,0.9673659673659674,0.9279964221824687,0.9472723122574753,2236.0,0.8991092652493522
.vba,0.8977176669484361,0.8637657584383895,0.8804145077720207,2459.0,0.7783248086511477
.xml,0.9762611275964391,0.8915989159891599,0.9320113314447591,2214.0,0.8725160094366345
.yaml,0.8482029598308668,0.8748364587876145,0.8613138686131387,2293.0,0.74452937163764
macro_average,0.9076111799400323,0.8947883191830585,0.8982015366324427,,
